"","X","kappa","alpha_pos","alpha_neg","phi","rho","rl_off","epsilon","not_pun_bonus","convergence","nll","ID"
"1",1,4.85879830524647,0.00696677416354416,2.00725424088173e-12,0.187129202623478,0.964995556685124,0.993746976872144,0.0652739015607235,0.292301545423761,0,314.998230287289,1
"2",2,3.3396703066673,0.00436594066537013,0.000469218473536059,0.130276745622999,0.832668273505083,0.737823076806847,0.043269390046484,0.255036152536563,0,327.905312574069,2
"3",3,2.28115649991372,0.020420020295026,0.00662718127272248,0.0917621381321636,0.84566413533514,0.939313283129744,0.0157061417812352,0.136900585998967,0,157.982373946057,3
"4",4,4.9999998201513,0.0125567231376797,0.00846231429664291,0.305120424645483,0.572523877983477,0.89674387068295,0.00430521805039694,0.30132153793122,0,197.602561567856,4
"5",5,4.99999999012762,0.00992720480294209,0.00788356434599789,9.16281074067514e-09,0.999999990472762,0.297418678989531,0.018762007546892,0.318214154682281,0,143.238203621832,5
"6",6,4.23808286996704,0.0104793388204419,0.000771551609622754,0.0602492452759065,0.678488835591988,0.710295068018379,0.0123336867539134,0.10265108062567,0,194.793811872104,6
"7",7,2.00643100385153,0.00546999385268967,6.47992531781415e-11,0.650269790665951,0.99999326675517,0.0758648261457901,4.70175250269606e-07,0.29496647255132,0,271.498850952557,7
"8",8,4.00000058100629,0.00474670257882048,6.31046569119942e-07,0.26068695176383,0.75542452477136,0.496795422514404,0.00137257694907603,0.311708864394092,0,258.275957304317,8
"9",9,3.00000026413506,0.0113916027567905,0.00182216302451271,0.209975094339668,0.7969991127097,0.289236648899467,0.0124182710051566,0.298285228148248,0,165.758546311916,9
"10",10,2.34990250695626,0.00874889275008058,1.75479635280573e-10,0.49401769406883,0.999999636991215,0.651043136317447,0.00746051584152301,0.26544963211973,0,265.992183926951,10
"11",11,4.99999422120901,0.00929607662063328,9.43218562098367e-11,0.0960067248382276,0.981110116100707,0.734399101835962,0.0148562648285279,0.320776172416026,0,209.822454124095,11
"12",12,3.00000000081061,0.00946031235076338,0.000111748445537976,0.385505750864597,0.986929655761281,0.877540108116018,0.0141856919242593,0.228177291929913,0,245.889893605107,12
"13",13,3.9999993772632,0.00869036130399357,0.000862299221463867,0.00118911450382069,0.537672121842195,0.374137613219253,0.0138702702486217,0.11425515279599,0,180.474231911898,13
"14",14,4.66909323741372,0.00889268404029324,9.6386909608944e-10,0.387373072041996,0.759480998194304,0.999956731427669,0.0147524325714894,0.333333334555434,0,323.847978059631,14
"15",15,2.35352973813704,0.0128245577060407,1.80520803013703e-09,0.0364273251881539,0.900825413453464,0.848323332996273,0.0488227020803096,0.341974652568645,0,250.503955285587,15
"16",16,4.9959604147233,0.0151381661938214,8.51106550660896e-06,0.0961303956073346,0.520509037369546,0.764239682800951,0.0206877156042534,0.856959853922286,0,197.232696123221,16
"17",17,3.10357414596677,0.0142232305616729,0.00150453081038687,0.110108809069232,0.788739790372384,0.697094047845568,0.011622902981158,0.130993577966343,0,165.489268699362,17
"18",18,4.5909328492493,0.00367333909905238,1.00171624499468e-11,0.350192379745833,0.770441902293015,0.287040622038342,0.0191000565113041,0.323515945027824,0,283.974782698398,18
"19",19,4.99999991549508,0.00855526355279996,0.00700832030391961,0.0334534157310741,0.8438956945827,0.470608700510797,0.0118403900322279,0.103244956742043,0,153.20717893182,19
"20",20,4.99988623516719,0.00130438120579684,3.68530469982956e-11,0.00533502170476755,0.696043166796391,4.86710750818402e-05,0.159948086986591,0.0161927493189714,0,393.354123347848,20
"21",21,1.98387942332258,0.00959996667610171,7.16885862931182e-10,0.502918472388792,0.999997181014257,0.261283434647399,0.055555567812737,0.329975928680509,0,242.654463815565,21
"22",22,4.99999938995101,0.00849378268175578,0.00759475472036455,0.265280057143915,0.936974884861353,0.448475781723504,0.0214766903082107,1.47445023268274e-08,0,157.687856061959,22
